vendor_id	pickup_datetime	dropoff_datetime	pickup_longitude	pickup_latitude	dropoff_longitude	dropoff_latitude	trip_duration	distance	id	HourType	Partition	$L-trip_duration
1	6/25/16 22:05	6/25/16 22:22	-74.001	40.761	-73.925	40.864	1003	8.147	id3913101	22	2_Testing	562.734
1	3/18/16 20:56	3/18/16 20:59	-74.003	40.723	-74.002	40.729	215	0.388	id1680350	20	2_Testing	187.677
2	2/3/16 16:22	2/3/16 16:37	-73.978	40.754	-73.96	40.773	870	1.617	id0913838	16	1_Training	797.47
2	6/7/16 22:32	6/7/16 22:46	-73.863	40.77	-73.837	40.721	814	3.624	id3896508	22	1_Training	692.449
2	3/16/16 20:13	3/16/16 20:23	-73.997	40.718	-73.999	40.73	637	0.84	id2846400	20	1_Training	547.643
2	2/20/16 21:58	2/20/16 21:59	-73.958	40.773	-73.955	40.774	57	0.204	id1510700	21	2_Testing	73.657
2	2/20/16 18:57	2/20/16 19:07	-73.991	40.75	-73.979	40.746	589	0.667	id0813128	18	1_Training	533.89
1	3/24/16 17:58	3/24/16 18:36	-73.992	40.731	-73.873	40.774	2275	6.963	id1158195	17	2_Testing	1723.986
1	3/20/16 23:16	3/20/16 23:27	-73.989	40.769	-73.956	40.772	647	1.754	id0959273	23	2_Testing	601.334
1	5/16/16 13:07	5/16/16 13:34	-73.965	40.807	-73.985	40.761	1628	3.339	id0739660	13	2_Testing	1386.514
1	6/17/16 17:32	6/17/16 18:11	-73.943	40.79	-73.989	40.763	2337	3.053	id3769871	17	2_Testing	2000.274
1	3/23/16 0:34	3/23/16 0:45	-74.011	40.704	-74.006	40.741	674	2.624	id1818021	0	2_Testing	586.333
2	4/12/16 21:29	4/12/16 21:49	-73.98	40.759	-74.01	40.705	1190	4.03	id0982165	21	1_Training	1008.367
2	6/11/16 12:52	6/11/16 13:12	-73.95	40.771	-74.001	40.746	1191	3.16	id1519515	12	1_Training	1037.952
2	2/25/16 14:56	2/25/16 15:09	-73.987	40.768	-73.976	40.76	785	0.846	id1082443	14	2_Testing	698.455
2	1/7/16 19:32	1/7/16 19:40	-73.986	40.757	-74	40.762	520	0.782	id2934884	19	2_Testing	451.065
1	6/5/16 18:43	6/5/16 18:46	-73.963	40.759	-73.954	40.764	218	0.57	id1205949	18	1_Training	175.952
2	6/13/16 7:20	6/13/16 7:24	-73.99	40.757	-73.982	40.76	222	0.491	id2592310	7	2_Testing	236.551
1	1/16/16 21:22	1/16/16 21:42	-73.994	40.734	-73.961	40.769	1204	2.951	id0883711	21	1_Training	1035.287
1	4/6/16 23:42	4/7/16 0:12	-73.782	40.645	-73.981	40.721	1782	11.665	id0283075	23	2_Testing	839.92
1	5/13/16 20:46	5/13/16 21:06	-74.014	40.713	-73.998	40.718	1174	0.932	id2107497	20	2_Testing	1048.955
2	1/28/16 11:25	1/28/16 11:30	-73.969	40.754	-73.973	40.747	336	0.563	id2090852	11	1_Training	279.966
2	6/24/16 14:24	6/24/16 14:32	-74.003	40.727	-73.993	40.739	470	0.989	id1297351	14	1_Training	456.725
2	5/27/16 16:17	5/27/16 16:23	-73.991	40.74	-74.006	40.735	346	0.861	id0667605	16	1_Training	344.388
1	5/22/16 15:41	5/22/16 15:48	-73.967	40.789	-73.963	40.776	419	0.92	id1476107	15	2_Testing	390.234
2	5/18/16 19:15	5/18/16 19:44	-73.962	40.776	-73.857	40.733	1762	6.204	id0673727	19	2_Testing	1320.066
1	3/31/16 11:33	3/31/16 12:12	-73.864	40.77	-73.986	40.761	2341	6.39	id2030290	11	2_Testing	1840.594
1	2/13/16 13:12	2/13/16 13:19	-73.992	40.744	-74.008	40.749	406	0.894	id3770790	13	2_Testing	394.48
2	1/20/16 19:21	1/20/16 19:31	-73.977	40.75	-73.999	40.74	596	1.378	id3025098	19	1_Training	555.196
2	6/2/16 23:34	6/2/16 23:41	-73.973	40.755	-73.977	40.743	435	0.881	id3333094	23	1_Training	395.587
1	2/4/16 13:22	2/4/16 13:40	-73.982	40.759	-73.97	40.784	1108	1.856	id2228940	13	2_Testing	949.467
1	3/30/16 16:14	3/30/16 17:01	-73.79	40.644	-73.971	40.687	2824	9.947	id2102594	16	1_Training	1919.06
1	4/29/16 10:40	4/29/16 10:53	-73.992	40.75	-73.978	40.755	769	0.811	id0010677	10	2_Testing	694.788
1	6/1/16 11:48	6/1/16 12:19	-74.005	40.746	-73.972	40.746	1826	1.729	id3194108	11	1_Training	1593.494
1	5/18/16 21:09	5/18/16 21:18	-73.981	40.757	-73.971	40.756	593	0.572	id2063827	21	1_Training	484.491
1	2/19/16 20:01	2/19/16 20:35	-73.79	40.644	-73.979	40.75	2065	12.34	id0105610	20	1_Training	934.218
1	3/15/16 21:03	3/15/16 21:14	-73.974	40.757	-73.95	40.777	653	1.874	id3502065	21	1_Training	590.155
2	6/6/16 20:13	6/6/16 20:45	-73.788	40.641	-73.972	40.749	1884	12.173	id3508035	20	1_Training	860.492
2	1/27/16 8:07	1/27/16 8:24	-73.956	40.768	-73.968	40.787	989	1.464	id3236276	8	1_Training	895.021
1	4/9/16 15:04	4/9/16 15:11	-73.973	40.756	-73.989	40.737	419	1.526	id3277902	15	1_Training	398.653
1	5/27/16 11:10	5/27/16 11:26	-73.976	40.761	-73.988	40.755	962	0.741	id2335059	11	1_Training	840.02
1	5/10/16 10:31	5/10/16 10:35	-73.966	40.763	-73.961	40.771	243	0.611	id2300865	10	1_Training	247.251
2	1/10/16 8:45	1/10/16 8:51	-73.989	40.756	-74.003	40.761	373	0.76	id3962434	8	2_Testing	349.527
1	2/18/16 17:47	2/18/16 17:54	-73.946	40.774	-73.953	40.781	384	0.65	id2677672	17	1_Training	388.942
1	5/22/16 17:34	5/22/16 18:20	-73.864	40.77	-74.007	40.705	2753	8.75	id0589360	17	1_Training	1985.682
1	3/12/16 20:39	3/12/16 21:05	-74.008	40.747	-73.979	40.719	1561	2.486	id0970832	20	2_Testing	1340.295
1	1/26/16 23:40	1/26/16 23:48	-74.007	40.706	-73.974	40.744	505	3.137	id0694434	23	1_Training	441.392
2	1/30/16 15:15	1/30/16 15:30	-73.977	40.757	-74.002	40.734	900	2.061	id3729136	15	1_Training	804.806
2	6/27/16 0:31	6/27/16 1:06	-73.871	40.774	-73.857	41.018	2116	16.878	id2358953	0	2_Testing	-30.727
1	5/2/16 6:58	5/2/16 7:08	-73.999	40.745	-73.979	40.762	611	1.584	id0935429	6	1_Training	540.052
2	4/11/16 14:18	4/11/16 14:34	-73.984	40.743	-73.988	40.752	972	0.658	id3056417	14	2_Testing	851.136
2	1/21/16 14:34	1/21/16 14:44	-73.962	40.771	-73.952	40.784	604	1.039	id1152886	14	1_Training	544.046
1	2/9/16 15:54	2/9/16 16:04	-73.994	40.736	-73.995	40.75	594	1.014	id1796723	15	1_Training	550.816
1	4/20/16 20:29	4/20/16 20:39	-73.95	40.78	-73.963	40.763	574	1.374	id0045014	20	1_Training	544.834
1	1/18/16 11:13	1/18/16 11:18	-73.952	40.766	-73.96	40.761	297	0.61	id2648478	11	1_Training	278.941
1	1/7/16 23:24	1/7/16 23:26	-73.999	40.75	-74.005	40.744	101	0.523	id0702030	23	2_Testing	140.718
2	6/10/16 22:24	6/10/16 22:41	-73.954	40.775	-73.991	40.726	1041	3.911	id3024438	22	1_Training	862.469
2	6/23/16 22:17	6/23/16 22:21	-73.977	40.75	-73.982	40.746	212	0.382	id2146569	22	2_Testing	233.184
1	2/7/16 18:08	2/7/16 18:15	-73.962	40.8	-73.978	40.783	422	1.493	id2307151	18	1_Training	397.588
2	3/2/16 20:15	3/2/16 20:37	-73.964	40.774	-74.005	40.751	1356	2.645	id2049424	20	2_Testing	1150.718
1	2/24/16 22:56	2/24/16 23:03	-74.007	40.73	-74.006	40.727	416	0.233	id2209089	22	2_Testing	383.643
1	4/6/16 12:14	4/6/16 12:33	-73.979	40.748	-73.97	40.763	1118	1.109	id0391524	12	2_Testing	991.439
1	6/17/16 10:01	6/17/16 10:16	-73.977	40.788	-73.984	40.763	874	1.811	id2681033	10	1_Training	802.485
1	6/16/16 20:31	6/16/16 20:36	-73.937	40.798	-73.946	40.781	321	1.296	id2040275	20	1_Training	293.579
2	3/30/16 23:49	3/30/16 23:56	-73.99	40.738	-73.991	40.725	400	0.885	id0073842	23	2_Testing	393.908
1	1/5/16 17:58	1/5/16 18:13	-73.979	40.753	-73.991	40.75	934	0.66	id3942339	17	2_Testing	797.378
2	3/19/16 19:51	3/19/16 20:04	-73.984	40.756	-73.982	40.767	773	0.79	id2991616	19	1_Training	696.914
2	1/22/16 17:31	1/22/16 17:37	-73.988	40.759	-73.992	40.771	337	0.831	id1047459	17	1_Training	348.393
1	5/18/16 19:08	5/18/16 19:12	-73.96	40.762	-73.951	40.775	234	1.035	id1737558	19	1_Training	241.535
2	5/25/16 13:19	5/25/16 13:27	-73.97	40.765	-73.958	40.782	474	1.389	id2135557	13	1_Training	445.656
2	3/26/16 13:07	3/26/16 13:29	-73.969	40.765	-73.873	40.771	1314	5.037	id0659170	13	2_Testing	1056.301
1	1/19/16 22:20	1/19/16 22:28	-73.995	40.74	-73.976	40.763	482	1.819	id1125774	22	1_Training	447.54
1	5/29/16 0:15	5/29/16 0:24	-73.985	40.769	-73.952	40.774	566	1.794	id1886740	0	2_Testing	486.336
2	2/10/16 21:06	2/10/16 21:09	-73.985	40.752	-73.984	40.744	189	0.525	id1982306	21	2_Testing	185.099
2	2/26/16 20:59	2/26/16 21:14	-74.001	40.732	-73.987	40.771	913	2.805	id2684106	20	1_Training	793.555
2	3/9/16 13:41	3/9/16 13:53	-73.973	40.764	-73.972	40.758	736	0.453	id0038484	13	2_Testing	635.316
2	4/11/16 10:44	4/11/16 10:56	-73.997	40.721	-74	40.746	714	1.746	id1734208	10	1_Training	646.408
1	2/9/16 6:58	2/9/16 7:12	-73.973	40.794	-73.954	40.766	815	2.146	id0561467	6	1_Training	746.75
2	3/3/16 22:01	3/3/16 22:17	-73.985	40.711	-73.989	40.73	972	1.374	id3092788	22	1_Training	852.882
2	3/26/16 14:47	3/26/16 14:53	-73.985	40.743	-73.994	40.735	318	0.706	id1741519	14	2_Testing	350.003
2	5/22/16 18:06	5/22/16 18:16	-73.992	40.75	-73.971	40.757	625	1.179	id1330402	18	2_Testing	538.38
2	5/28/16 22:53	5/28/16 23:07	-73.985	40.749	-73.981	40.769	859	1.432	id2505596	22	1_Training	749.042
2	3/16/16 5:42	3/16/16 5:45	-73.994	40.742	-73.985	40.754	141	0.981	id1630509	5	1_Training	180.313
1	5/28/16 17:40	5/28/16 17:56	-73.97	40.769	-73.987	40.73	983	2.826	id0512853	17	2_Testing	841.895
2	6/13/16 13:22	6/13/16 13:31	-73.99	40.741	-73.977	40.747	565	0.81	id3089912	13	2_Testing	490.942
1	5/16/16 15:02	5/16/16 15:08	-73.989	40.775	-73.982	40.766	351	0.728	id1137965	15	1_Training	341.374
2	1/9/16 15:07	1/9/16 15:12	-73.968	40.76	-73.954	40.779	342	1.509	id3677225	15	1_Training	290.606
1	5/26/16 6:37	5/26/16 6:52	-74.007	40.706	-73.992	40.75	909	3.151	id0401226	6	2_Testing	779.227
2	5/22/16 22:42	5/22/16 22:46	-73.996	40.75	-73.995	40.736	227	0.927	id2452605	22	1_Training	242.133
2	4/19/16 9:27	4/19/16 9:45	-73.987	40.751	-73.989	40.769	1078	1.301	id3618302	9	2_Testing	952.641
2	4/1/16 7:55	4/1/16 8:10	-73.975	40.752	-73.991	40.751	900	0.808	id1552358	7	1_Training	793.918
1	2/1/16 18:02	2/1/16 18:13	-74	40.738	-74	40.723	631	1.035	id1168234	18	1_Training	593.096
2	4/20/16 7:33	4/20/16 7:56	-73.955	40.767	-73.989	40.693	1385	5.415	id2910320	7	1_Training	1087.215
1	4/12/16 9:21	4/12/16 9:35	-73.965	40.756	-73.976	40.757	869	0.583	id3331830	9	2_Testing	738.257
2	6/19/16 18:39	6/19/16 18:48	-73.999	40.744	-73.989	40.759	574	1.131	id0195963	18	1_Training	493.98
2	3/17/16 8:24	3/17/16 8:26	-73.978	40.764	-73.973	40.766	104	0.311	id0762989	8	1_Training	126.745
2	4/7/16 8:44	4/7/16 8:51	-73.953	40.772	-73.948	40.783	418	0.83	id2671060	8	1_Training	377.931
1	1/1/16 10:45	1/1/16 10:51	-74.002	40.741	-73.996	40.726	383	1.068	id3620795	10	1_Training	338.655
1	1/4/16 16:32	1/4/16 16:51	-73.962	40.811	-73.995	40.753	1117	4.351	id2282206	16	2_Testing	955.9
1	6/9/16 18:43	6/9/16 19:07	-73.987	40.743	-73.994	40.761	1447	1.335	id0591292	18	1_Training	1251.155
1	4/19/16 8:31	4/19/16 9:14	-73.972	40.751	-73.953	40.632	2543	8.284	id0906779	8	1_Training	1829.805
2	6/10/16 22:06	6/10/16 22:23	-73.957	40.775	-73.937	40.857	981	5.786	id2326430	22	2_Testing	758.49
2	3/14/16 4:24	3/14/16 4:37	-73.944	40.714	-73.911	40.709	755	1.805	id3863815	4	1_Training	690.273
2	4/6/16 8:53	4/6/16 9:14	-73.973	40.756	-73.873	40.774	1257	5.376	id3048297	8	1_Training	950.478
1	4/2/16 14:46	4/2/16 15:06	-74.006	40.709	-73.97	40.763	1221	4.134	id3649509	14	2_Testing	1014.07
2	4/6/16 12:24	4/6/16 12:40	-73.985	40.746	-73.977	40.76	940	1.018	id1783063	12	2_Testing	841.708
2	4/12/16 20:22	4/12/16 20:24	-73.962	40.77	-73.961	40.775	126	0.349	id3363012	20	2_Testing	128.805
1	2/10/16 8:36	2/10/16 8:42	-73.969	40.8	-73.968	40.792	350	0.579	id0514638	8	1_Training	335.445
2	2/26/16 16:10	2/26/16 16:23	-73.983	40.762	-73.993	40.747	737	1.156	id0627115	16	2_Testing	697.53
2	1/14/16 12:25	1/14/16 12:37	-73.996	40.743	-74.008	40.723	690	1.512	id3141299	12	2_Testing	649.862
1	4/15/16 11:58	4/15/16 12:09	-74	40.748	-73.99	40.738	671	0.891	id2003497	11	2_Testing	588.68
1	2/7/16 23:17	2/7/16 23:25	-73.999	40.734	-73.982	40.74	463	0.987	id3748197	23	2_Testing	447.611
1	4/15/16 14:41	4/15/16 14:47	-74.014	40.714	-74.005	40.705	367	0.776	id2983261	14	2_Testing	353.224
2	6/19/16 20:23	6/19/16 20:29	-73.991	40.751	-73.993	40.734	369	1.144	id0485870	20	1_Training	345.796
1	1/15/16 19:25	1/15/16 19:31	-73.975	40.756	-73.986	40.747	402	0.79	id0835694	19	2_Testing	346.179
2	2/18/16 9:27	2/18/16 9:45	-73.967	40.759	-74.013	40.702	1093	4.64	id3426410	9	2_Testing	888.987
2	1/31/16 13:52	1/31/16 14:03	-73.976	40.751	-74.002	40.735	657	1.744	id3673678	13	1_Training	598.552
1	1/7/16 15:40	1/7/16 15:49	-73.979	40.751	-73.964	40.755	530	0.811	id2460349	15	1_Training	487.931
1	6/5/16 3:02	6/5/16 3:14	-73.98	40.781	-73.941	40.823	733	3.542	id3198639	3	1_Training	614.689
2	5/31/16 19:16	5/31/16 19:27	-73.987	40.751	-74.005	40.74	699	1.229	id1872601	19	1_Training	605.108
1	6/14/16 21:16	6/14/16 21:21	-73.967	40.753	-73.952	40.769	294	1.388	id0125957	21	2_Testing	289.749
2	2/23/16 13:28	2/23/16 13:40	-73.97	40.765	-73.95	40.768	661	1.11	id3526986	13	2_Testing	643.308
1	6/30/16 21:35	6/30/16 21:46	-74.002	40.717	-73.986	40.727	652	1.087	id3170873	21	1_Training	597.188
2	2/15/16 17:52	2/15/16 18:02	-74.007	40.741	-74.017	40.705	586	2.536	id1674373	17	1_Training	546.767
2	4/7/16 22:52	4/7/16 23:10	-73.995	40.749	-73.989	40.718	1057	2.176	id2973697	22	1_Training	943.593
1	1/29/16 11:23	1/29/16 11:33	-73.987	40.726	-73.997	40.735	580	0.856	id1592044	11	2_Testing	544.391
2	6/1/16 20:15	6/1/16 20:34	-73.98	40.766	-73.991	40.75	1151	1.227	id3899813	20	1_Training	1000.518
1	4/9/16 9:09	4/9/16 9:20	-73.954	40.767	-73.988	40.721	660	3.62	id2075052	9	1_Training	569.55
1	1/3/16 2:03	1/3/16 2:17	-74.008	40.741	-73.984	40.737	803	1.289	id3707411	2	2_Testing	735.86
1	4/14/16 8:31	4/14/16 9:03	-74.007	40.731	-73.975	40.758	1954	2.522	id1608545	8	2_Testing	1644.395
2	1/16/16 20:34	1/16/16 20:51	-73.981	40.755	-74.005	40.73	1030	2.158	id3517425	20	2_Testing	901.863
1	4/29/16 14:18	4/29/16 15:05	-73.863	40.769	-73.986	40.749	2817	6.613	id3942917	14	1_Training	2237.626
2	3/29/16 6:07	3/29/16 6:09	-73.988	40.765	-73.994	40.759	85	0.52	id2000923	6	2_Testing	125.036
1	1/2/16 1:16	1/2/16 1:19	-73.954	40.775	-73.947	40.78	194	0.485	id3564028	1	2_Testing	188.988
1	2/5/16 17:28	2/5/16 17:30	-73.972	40.782	-73.965	40.778	116	0.511	id1233453	17	1_Training	137.414
2	5/22/16 13:08	5/22/16 13:21	-73.978	40.777	-73.958	40.775	806	1.092	id1372674	13	2_Testing	694.44
2	5/28/16 21:31	5/28/16 21:41	-73.984	40.738	-74.005	40.74	599	1.15	id2806146	21	1_Training	551.554
2	3/6/16 10:53	3/6/16 10:59	-73.985	40.76	-73.98	40.753	364	0.583	id1832737	10	1_Training	339.099
2	5/31/16 19:53	5/31/16 20:00	-73.99	40.747	-73.975	40.742	433	0.867	id1489766	19	1_Training	393.071
2	5/17/16 18:00	5/17/16 18:10	-73.863	40.77	-73.872	40.763	598	0.627	id3308765	18	1_Training	509.838
2	4/24/16 9:09	4/24/16 9:37	-73.976	40.757	-74.178	40.691	1665	11.514	id1935437	9	2_Testing	788.253
2	4/1/16 9:28	4/1/16 9:42	-73.957	40.781	-73.97	40.8	838	1.499	id2059551	9	2_Testing	747.107
1	5/16/16 13:05	5/16/16 13:33	-73.873	40.774	-73.976	40.75	1699	5.647	id2433939	13	1_Training	1337.988
2	2/15/16 16:36	2/15/16 16:41	-73.972	40.782	-73.982	40.779	331	0.565	id2677357	16	1_Training	289.864
2	1/1/16 0:09	1/1/16 0:19	-73.984	40.749	-73.996	40.716	622	2.359	id2336715	0	1_Training	529.977
1	3/24/16 18:27	3/24/16 18:32	-73.971	40.764	-73.962	40.776	343	0.949	id3525276	18	2_Testing	283.823
1	1/4/16 14:20	1/4/16 14:36	-73.867	40.772	-73.795	40.735	998	4.567	id3729126	14	2_Testing	731.182
1	3/15/16 9:44	3/15/16 10:07	-73.955	40.78	-73.862	40.768	1365	4.954	id1073968	9	2_Testing	1077.848
2	6/15/16 10:17	6/15/16 10:27	-73.953	40.772	-73.978	40.739	592	2.638	id0562336	10	1_Training	544.386
1	3/18/16 7:48	3/18/16 7:53	-73.973	40.749	-73.962	40.761	313	0.988	id1163958	7	2_Testing	293.825
1	4/26/16 14:42	4/26/16 14:57	-73.955	40.78	-73.97	40.79	890	1.008	id1681877	14	1_Training	801.559
2	5/2/16 18:29	5/2/16 18:38	-74.003	40.76	-73.988	40.779	558	1.492	id0945119	18	1_Training	495.255
1	4/12/16 10:11	4/12/16 10:34	-73.99	40.752	-73.99	40.724	1389	1.939	id2939783	10	1_Training	1194.769
